test	success	trials	genome_prop	obs_prop	ci_lower	ci_upper	fold	p_value
High FST (top 1%)	298	16650	0.0100004562945838	0.0178978978978979	0.0162404736694735	1	1.78970812637733	1.83446763031424e-20
Low pi north (bottom 1%)	339	16650	0.0100006084020321	0.0203603603603604	0.0185923296441536	1	2.03591217072586	2.98995081821428e-32
Low pi central (bottom 1%)	155	16650	0.0100004562945838	0.00930930930930931	0.00811907975896978	1	0.930888454994919	0.824801696911978
