test	median_chr7	median_other	p_value	success	trials	genome_prop	obs_prop	fold
pi_asymmetry_wilcox	9.0631e-05	8.85995e-05	0.999904477524858					
high_fst_binom			1.83446763031424e-20	298	16650	0.0100004562945838	0.0178978978978979	1.78970812637733
low_pi_north_binom			2.98995081821428e-32	339	16650	0.0100006084020321	0.0203603603603604	2.03591217072586
low_pi_central_binom			0.824801696911978	155	16650	0.0100004562945838	0.00930930930930931	0.930888454994919
